Source,Target,Type,Id,Label,timeset,Weight
0,32,Undirected,0,,,1
0,35,Undirected,1,,,1
0,4,Undirected,2,,,1
0,37,Undirected,3,,,1
0,38,Undirected,4,,,1
0,6,Undirected,5,,,1
0,8,Undirected,6,,,1
0,11,Undirected,7,,,1
0,43,Undirected,8,,,1
0,12,Undirected,9,,,1
0,14,Undirected,10,,,1
0,46,Undirected,11,,,1
0,16,Undirected,12,,,1
0,47,Undirected,13,,,1
0,22,Undirected,14,,,1
0,26,Undirected,15,,,1
0,30,Undirected,16,,,1
0,31,Undirected,17,,,1
1,2,Undirected,18,,,1
1,7,Undirected,19,,,1
1,8,Undirected,20,,,1
1,12,Undirected,21,,,1
1,16,Undirected,22,,,1
1,25,Undirected,23,,,1
1,26,Undirected,24,,,1
1,27,Undirected,25,,,1
1,28,Undirected,26,,,1
1,32,Undirected,27,,,1
1,33,Undirected,28,,,1
1,34,Undirected,29,,,1
1,35,Undirected,30,,,1
1,36,Undirected,31,,,1
1,38,Undirected,32,,,1
1,39,Undirected,33,,,1
1,40,Undirected,34,,,1
1,48,Undirected,35,,,1
1,49,Undirected,36,,,1
2,3,Undirected,37,,,1
2,37,Undirected,38,,,1
2,9,Undirected,39,,,1
2,42,Undirected,40,,,1
2,43,Undirected,41,,,1
2,44,Undirected,42,,,1
2,13,Undirected,43,,,1
2,14,Undirected,44,,,1
2,48,Undirected,45,,,1
2,18,Undirected,46,,,1
2,19,Undirected,47,,,1
2,27,Undirected,48,,,1
3,4,Undirected,49,,,1
3,6,Undirected,50,,,1
3,7,Undirected,51,,,1
3,38,Undirected,52,,,1
3,9,Undirected,53,,,1
3,11,Undirected,54,,,1
3,12,Undirected,55,,,1
3,45,Undirected,56,,,1
3,17,Undirected,57,,,1
3,19,Undirected,58,,,1
3,21,Undirected,59,,,1
3,23,Undirected,60,,,1
3,24,Undirected,61,,,1
3,26,Undirected,62,,,1
3,30,Undirected,63,,,1
4,33,Undirected,64,,,1
4,37,Undirected,65,,,1
4,39,Undirected,66,,,1
4,40,Undirected,67,,,1
4,41,Undirected,68,,,1
4,42,Undirected,69,,,1
4,13,Undirected,70,,,1
4,20,Undirected,71,,,1
4,24,Undirected,72,,,1
4,29,Undirected,73,,,1
5,35,Undirected,74,,,1
5,37,Undirected,75,,,1
5,7,Undirected,76,,,1
5,9,Undirected,77,,,1
5,10,Undirected,78,,,1
5,11,Undirected,79,,,1
5,12,Undirected,80,,,1
5,13,Undirected,81,,,1
5,41,Undirected,82,,,1
5,42,Undirected,83,,,1
5,45,Undirected,84,,,1
5,48,Undirected,85,,,1
5,49,Undirected,86,,,1
5,17,Undirected,87,,,1
5,31,Undirected,88,,,1
6,39,Undirected,89,,,1
6,9,Undirected,90,,,1
6,42,Undirected,91,,,1
6,44,Undirected,92,,,1
6,45,Undirected,93,,,1
6,20,Undirected,94,,,1
6,29,Undirected,95,,,1
7,38,Undirected,96,,,1
7,15,Undirected,97,,,1
7,18,Undirected,98,,,1
7,20,Undirected,99,,,1
7,22,Undirected,100,,,1
7,24,Undirected,101,,,1
8,33,Undirected,102,,,1
8,34,Undirected,103,,,1
8,42,Undirected,104,,,1
8,15,Undirected,105,,,1
8,21,Undirected,106,,,1
8,27,Undirected,107,,,1
8,29,Undirected,108,,,1
9,36,Undirected,109,,,1
9,46,Undirected,110,,,1
9,15,Undirected,111,,,1
9,16,Undirected,112,,,1
10,32,Undirected,113,,,1
10,33,Undirected,114,,,1
10,38,Undirected,115,,,1
10,39,Undirected,116,,,1
10,14,Undirected,117,,,1
10,18,Undirected,118,,,1
10,19,Undirected,119,,,1
10,21,Undirected,120,,,1
10,22,Undirected,121,,,1
10,24,Undirected,122,,,1
10,27,Undirected,123,,,1
10,28,Undirected,124,,,1
10,29,Undirected,125,,,1
10,30,Undirected,126,,,1
11,33,Undirected,127,,,1
11,39,Undirected,128,,,1
11,18,Undirected,129,,,1
11,24,Undirected,130,,,1
11,28,Undirected,131,,,1
12,44,Undirected,132,,,1
12,46,Undirected,133,,,1
12,18,Undirected,134,,,1
12,19,Undirected,135,,,1
12,21,Undirected,136,,,1
12,24,Undirected,137,,,1
13,34,Undirected,138,,,1
13,16,Undirected,139,,,1
13,49,Undirected,140,,,1
13,23,Undirected,141,,,1
13,24,Undirected,142,,,1
13,25,Undirected,143,,,1
13,30,Undirected,144,,,1
14,40,Undirected,145,,,1
14,41,Undirected,146,,,1
14,42,Undirected,147,,,1
14,44,Undirected,148,,,1
14,49,Undirected,149,,,1
14,25,Undirected,150,,,1
14,26,Undirected,151,,,1
15,35,Undirected,152,,,1
15,40,Undirected,153,,,1
15,45,Undirected,154,,,1
15,48,Undirected,155,,,1
15,17,Undirected,156,,,1
15,49,Undirected,157,,,1
15,25,Undirected,158,,,1
15,30,Undirected,159,,,1
15,31,Undirected,160,,,1
16,32,Undirected,161,,,1
16,40,Undirected,162,,,1
16,42,Undirected,163,,,1
16,17,Undirected,164,,,1
16,20,Undirected,165,,,1
16,21,Undirected,166,,,1
17,44,Undirected,167,,,1
17,18,Undirected,168,,,1
17,19,Undirected,169,,,1
17,24,Undirected,170,,,1
17,29,Undirected,171,,,1
18,39,Undirected,172,,,1
18,42,Undirected,173,,,1
18,43,Undirected,174,,,1
18,44,Undirected,175,,,1
18,23,Undirected,176,,,1
18,26,Undirected,177,,,1
19,34,Undirected,178,,,1
19,35,Undirected,179,,,1
19,37,Undirected,180,,,1
19,40,Undirected,181,,,1
19,42,Undirected,182,,,1
19,47,Undirected,183,,,1
19,48,Undirected,184,,,1
19,49,Undirected,185,,,1
19,21,Undirected,186,,,1
19,25,Undirected,187,,,1
19,26,Undirected,188,,,1
19,31,Undirected,189,,,1
20,34,Undirected,190,,,1
20,36,Undirected,191,,,1
20,41,Undirected,192,,,1
20,49,Undirected,193,,,1
20,23,Undirected,194,,,1
20,25,Undirected,195,,,1
20,28,Undirected,196,,,1
21,40,Undirected,197,,,1
21,41,Undirected,198,,,1
21,42,Undirected,199,,,1
21,43,Undirected,200,,,1
21,28,Undirected,201,,,1
22,36,Undirected,202,,,1
22,40,Undirected,203,,,1
22,41,Undirected,204,,,1
22,44,Undirected,205,,,1
22,45,Undirected,206,,,1
22,49,Undirected,207,,,1
23,33,Undirected,208,,,1
23,37,Undirected,209,,,1
23,39,Undirected,210,,,1
23,40,Undirected,211,,,1
23,25,Undirected,212,,,1
24,46,Undirected,213,,,1
24,43,Undirected,214,,,1
24,31,Undirected,215,,,1
25,47,Undirected,216,,,1
25,46,Undirected,217,,,1
25,27,Undirected,218,,,1
26,45,Undirected,219,,,1
26,48,Undirected,220,,,1
26,29,Undirected,221,,,1
27,45,Undirected,222,,,1
27,29,Undirected,223,,,1
28,35,Undirected,224,,,1
28,44,Undirected,225,,,1
28,45,Undirected,226,,,1
28,46,Undirected,227,,,1
29,34,Undirected,228,,,1
29,35,Undirected,229,,,1
29,36,Undirected,230,,,1
29,49,Undirected,231,,,1
29,31,Undirected,232,,,1
30,36,Undirected,233,,,1
30,41,Undirected,234,,,1
31,32,Undirected,235,,,1
31,34,Undirected,236,,,1
31,36,Undirected,237,,,1
31,39,Undirected,238,,,1
32,35,Undirected,239,,,1
32,41,Undirected,240,,,1
32,43,Undirected,241,,,1
32,45,Undirected,242,,,1
32,49,Undirected,243,,,1
33,43,Undirected,244,,,1
33,47,Undirected,245,,,1
34,37,Undirected,246,,,1
34,44,Undirected,247,,,1
34,46,Undirected,248,,,1
34,45,Undirected,249,,,1
35,44,Undirected,250,,,1
36,37,Undirected,251,,,1
36,42,Undirected,252,,,1
36,47,Undirected,253,,,1
39,46,Undirected,254,,,1
39,47,Undirected,255,,,1
41,46,Undirected,256,,,1
41,48,Undirected,257,,,1
43,44,Undirected,258,,,1
43,45,Undirected,259,,,1
43,49,Undirected,260,,,1
44,47,Undirected,261,,,1
45,49,Undirected,262,,,1
