Id,Label,timeset,indegree,outdegree,degree,clustering,triangles
0,0,,0,17,17,0.323529,44
1,1,,0,13,13,0.307692,24
2,2,,0,17,17,0.242647,33
3,3,,2,20,22,0.324675,75
4,4,,3,13,16,0.358333,43
5,5,,1,16,17,0.235294,32
6,6,,1,22,23,0.332016,84
7,7,,0,15,15,0.32381,34
8,8,,5,13,18,0.30719,47
9,9,,2,13,15,0.285714,30
10,10,,5,9,14,0.263736,24
11,11,,8,15,23,0.300395,76
12,12,,5,11,16,0.291667,35
13,13,,5,14,19,0.315789,54
14,14,,7,11,18,0.294118,45
15,15,,4,12,16,0.275,33
16,16,,5,10,15,0.27619,29
17,17,,8,11,19,0.345029,59
18,18,,9,9,18,0.45098,69
19,19,,2,9,11,0.327273,18
20,20,,8,9,17,0.397059,54
21,21,,6,8,14,0.285714,26
22,22,,8,8,16,0.333333,40
23,23,,9,6,15,0.219048,23
24,24,,8,8,16,0.275,33
25,25,,9,2,11,0.436364,24
26,26,,8,4,12,0.318182,21
27,27,,12,6,18,0.359477,55
28,28,,8,4,12,0.333333,22
29,29,,6,6,12,0.30303,20
30,30,,10,7,17,0.286765,39
31,31,,10,4,14,0.285714,26
32,32,,9,3,12,0.30303,20
33,33,,11,7,18,0.300654,46
34,34,,12,5,17,0.323529,44
35,35,,14,3,17,0.301471,41
36,36,,12,1,13,0.346154,27
37,37,,11,4,15,0.361905,38
38,38,,14,4,18,0.287582,44
39,39,,12,2,14,0.362637,33
40,40,,14,3,17,0.338235,46
41,41,,9,3,12,0.333333,22
42,42,,14,0,14,0.241758,22
43,43,,12,2,14,0.307692,28
44,44,,10,0,10,0.311111,14
45,45,,12,3,15,0.285714,30
46,46,,10,1,11,0.345455,19
47,47,,12,1,13,0.333333,26
48,48,,16,1,17,0.235294,32
49,49,,7,0,7,0.142857,3
